"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10"
"BBC",0.000251592907958773,1.19722510557428e-11,9.12654022596506e-16,2.19407840999551e-06,0.000389397209878859,1.90014607885573e-14,6.86462607456688e-15,2.02291944586534e-18,1.43530350001419e-17,9.03418628263341e-09
"DNA",1.42284916374092e-23,7.0022031149095e-38,4.6249014623434e-23,0.00158125279250866,1.61539833604873e-22,9.14753697003048e-18,2.85177819385775e-27,6.13130981518919e-31,2.39486731953558e-15,1.06437722012229e-17
"GDP",1.36093001753238e-35,9.14953948681341e-51,3.26488091829284e-36,3.07550675196802e-36,0.00118109184915856,4.61145942363e-29,1.74804341220507e-29,1.65296115298592e-49,4.36053928469869e-37,1.93522589902674e-29
"HIV",1.22634192259919e-16,2.06429217901053e-18,4.01559159436747e-13,0.00114991141610956,1.11758428065214e-28,5.89644075105915e-12,9.1186221603528e-14,1.92826691159049e-16,8.30792669293762e-19,1.0589211603895e-07
"NBA",2.18602762092574e-22,2.70327337433143e-21,9.80748520011344e-13,6.96951948679276e-12,5.07000813933738e-28,0.000811154272981485,3.2963524271434e-10,3.73057897013729e-23,2.79127460998264e-12,1.85282737135665e-08
"OK",9.31053686632927e-18,1.17337272521637e-20,1.32547715571042e-09,9.27627488001344e-11,1.53349815620544e-21,3.22693634245542e-09,1.70150063842646e-12,0.000203608374543965,0.000771235793204513,7.63359003077079e-07
"PUA",3.31779367001286e-22,4.12193885895982e-11,7.77562154065882e-18,1.51008900311674e-21,2.6489298533904e-45,1.15874991648928e-24,2.0194293865711e-22,1.20506610423033e-28,0.000745580605801799,1.53845071320099e-16
"TM",9.54549849739377e-23,2.44142367487917e-06,0.00140850814945344,1.7332249235175e-06,3.11664605418155e-15,1.67314961308778e-12,4.37506235084708e-11,3.40832083030449e-14,7.5224380882426e-18,4.85263794893716e-07
"ai",4.49300503089181e-19,3.76749234430559e-24,9.19557273479111e-09,0.000296973494093774,1.58710386665152e-20,1.45893113531985e-09,2.34245384479079e-09,7.76375038121713e-19,7.93696172196472e-12,0.000492903676267226
"buff",4.0410312255645e-11,2.87657978220755e-17,1.71997684552304e-08,1.10133300622111e-08,0.000248955268489261,2.58235895984982e-06,1.32868257556903e-08,7.19011589210773e-18,2.96055381156242e-17,0.00145571778476218
"eg",3.49938129307672e-21,9.8940796675478e-25,1.51113090761542e-13,1.41349672255673e-11,4.87800285083059e-06,8.60507135120615e-06,6.91315193484398e-05,5.36043131733888e-20,0.00206491082861447,2.31799208868726e-07
