,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
Topic1,0.014214681572894813,-0.00021246915368031423,-0.003760217850938237,-0.0013696350172369637,-0.0016103008582980902,-0.0010150088003431322,-0.0033227368105378068,-0.00047437343071685334,-0.0020084260318374136,-0.00044151361930599975
Topic2,-0.00021246915368031423,0.013902894774051242,-0.00422516212884182,-0.0012809684695863665,-0.0014062422141821764,-0.0010244402005564232,-0.0033539101738573073,-0.0004465295070243626,-0.0015843127342872062,-0.00036886019203526447
Topic3,-0.003760217850938237,-0.00422516212884182,0.0487271567808307,-0.004063224655131363,-0.00449517813361593,-0.004912572802334653,-0.013561970421413782,-0.0037697510479160036,-0.007215719807798636,-0.0027233599328402845
Topic4,-0.0013696350172369637,-0.0012809684695863665,-0.004063224655131363,0.018515116639615223,-0.0018040066635280061,-0.001494161253717058,-0.004572501146648855,-0.0009382103350811529,-0.0022809148066572087,-0.0007114942920282463
Topic5,-0.0016103008582980902,-0.0014062422141821764,-0.00449517813361593,-0.0018040066635280061,0.0201043278003999,-0.0016815612802299033,-0.003995936759496351,-0.001321118558041573,-0.0029008863266492637,-0.0008890970063586047
Topic6,-0.0010150088003431322,-0.0010244402005564232,-0.004912572802334653,-0.001494161253717058,-0.0016815612802299033,0.015848846920889142,-0.0022022513498806146,-0.0008905698721521811,-0.0020226310546965125,-0.0006056503069786711
Topic7,-0.0033227368105378068,-0.0033539101738573073,-0.013561970421413782,-0.004572501146648855,-0.003995936759496351,-0.0022022513498806146,0.040601657079349915,-0.0028594730823523935,-0.004809540871294489,-0.0019233364638683139
Topic8,-0.00047437343071685334,-0.0004465295070243626,-0.0037697510479160036,-0.0009382103350811529,-0.001321118558041573,-0.0008905698721521811,-0.0028594730823523935,0.012278844196783345,-0.0012937510702506197,-0.00028506729324820573
Topic9,-0.0020084260318374136,-0.0015843127342872062,-0.007215719807798636,-0.0022809148066572087,-0.0029008863266492637,-0.0020226310546965125,-0.004809540871294489,-0.0012937510702506197,0.02518822062876426,-0.0010720379252929168
Topic10,-0.00044151361930599975,-0.00036886019203526447,-0.0027233599328402845,-0.0007114942920282463,-0.0008890970063586047,-0.0006056503069786711,-0.0019233364638683139,-0.00028506729324820573,-0.0010720379252929168,0.00902041703195651
