,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
sample_0,0.02500000002498774,0.025000000021616682,0.02500000001637232,0.27499926711538136,0.2750007704809911,0.02500000004603763,0.2749999621687775,0.025000000038803743,0.025000000033284096,0.02500000005374784
sample_2,0.016666666674758978,0.016666667183254574,0.01668271609549811,0.01666666667968208,0.8499754884486236,0.016668243951774173,0.01666666667375271,0.01666668016096991,0.01667353744762385,0.016666666684062102
sample_3,0.0035714304456293156,0.003571428583679988,0.9321338226095836,0.0035714877106939515,0.003573837762515576,0.003571835492675973,0.0035716601586177074,0.03929146865474219,0.0035716000044116398,0.0035714285774502063
sample_5,0.006666666670547107,0.0066666666700244265,0.14842135415116953,0.664911539456518,0.07333307977525924,0.006666715701889187,0.006667096999225108,0.07333310104040651,0.006667112859950515,0.006666666675010345
sample_6,0.05000000000273054,0.05000000000133048,0.05000764248144373,0.05000150300135455,0.050006670075171844,0.050000000002819775,0.05000616594495299,0.05000000000236853,0.5499780184845393,0.050000000003288185
sample_7,0.025000000009766,0.025000000008634192,0.2749925725694655,0.27500027595101584,0.02500000001580976,0.27499836701242564,0.025007021492922173,0.025000000015108527,0.0250000000130344,0.02500176291181801
sample_8,0.524999560451216,0.025000000015886866,0.025000000012053093,0.025000000029526456,0.2750004393489539,0.025000000033858175,0.025000000016083386,0.025000000028423418,0.025000000024476388,0.025000000039522366
sample_10,0.020000000008260414,0.02000000000714136,0.5756884635253209,0.26430149446426116,0.020010041895605964,0.020000000015224683,0.020000000007227278,0.02000000001277991,0.0200000000464302,0.02000000001774828
sample_11,0.0034482764974018364,0.07241338982940096,0.003448510654768772,0.04202601141657427,0.04510649425919026,0.0034483049442094304,0.0907730915207471,0.23804432449078622,0.49784330205179916,0.003448294335121893
sample_12,0.020000000018621737,0.619963537105825,0.020000000012222133,0.02000176021113522,0.020005985920525417,0.02000000003432876,0.020001248654730526,0.02000000002880177,0.22002746797373718,0.020000000040072248
sample_13,0.5499940590706106,0.05000000002941166,0.050000000022320704,0.05000594055957407,0.050000000054854526,0.050000000062628586,0.05000000002975025,0.05000000005256418,0.05000000004527589,0.05000000007300952
sample_14,0.05000000000517227,0.050000000004471724,0.05000000000339009,0.5499999999385525,0.05000000000834375,0.05000000000953233,0.05000000000452912,0.05000000000799936,0.05000000000688632,0.05000000001112258
sample_15,0.025001635663494573,0.025000000023975434,0.27499873668175406,0.27499765180343383,0.02500249694987104,0.025000000051057524,0.02500000002424725,0.025000000042864786,0.025000000036927896,0.2749994787223734
sample_16,0.02000000001061537,0.02000030104698965,0.8199972817438744,0.02000063408070938,0.020000000017119587,0.020000000019540227,0.020001783027813785,0.020000000016408816,0.020000000014123123,0.02000000002280555
sample_17,0.012500000004002835,0.012500000003464158,0.8874946362209596,0.012500000006546861,0.012500000006465178,0.012500000007374869,0.012504976501436919,0.012500000006276187,0.012500387234869823,0.012500000008603733
sample_18,0.005000041099410342,0.005000000001580468,0.005000574618061666,0.005000127364163775,0.0050002537567272465,0.6921301101522987,0.2678673755361328,0.005000000002826492,0.005001517464868296,0.005000000003930275
sample_19,0.01111111111589036,0.011111111115792997,0.011111575897864566,0.01111145388286803,0.12222212382035245,0.3645987195887545,0.4353999817470452,0.011111111118504805,0.01111170059154021,0.011111111121386947
sample_20,0.003030346432950696,0.003030303031799923,0.0030304872370158836,0.0030303030330829177,0.003031396328032092,0.003030531948997854,0.9727249872536863,0.003030867064369889,0.003030474627277302,0.0030303030427872545
sample_21,0.4683263269940013,0.010000068390768415,0.24978353165454867,0.010000455163740436,0.010000647320660921,0.010000000017945508,0.211881515913999,0.010000938222121392,0.010005848076779398,0.010000668245434828
