Topic,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10,Rank11,Rank12,Rank13,Rank14,Rank15
Topic1,讨论,表现,群体,性别,偏见,方式,极端,属于,对方,情绪,形成,行为,往往,出现,进行
Topic2,言论,可能,表达,同性恋,网络,攻击,特征,理性,恶心,使用,言语,态度,带有,民族,话题
Topic3,黑人,中国,女人,女性,男人,男性,孩子,没有,不要,不是,不会,结婚,女权,女拳,暴力
Topic4,非洲,传播,黑人,事实,现实,艾滋病,不满,此类,尊重,观点,一起,人类,艾滋,通常,哈哈哈
Topic5,应该,喜欢,接受,不能,感觉,支持,文明,一定,比较,没有,反正,不好,这种,起来,不是
Topic6,伤害,恶意,现在,真是,正常,反对,出来,南方,讨厌,广东,以前,批评,理解,没有,每个
Topic7,歧视,东北,地域,河南,上海,觉得,评价,河南人,这种,地方,平台,确实,东西,不是,其实
Topic8,社会,说话,别人,问题,不同,本身,造成,基佬,氛围,信息,抱怨,核心,负面,权利,内容
Topic9,不是,没有,知道,大家,看看,生活,看到,文化,仇恨,基因,这是,所有,毕竟,当然,别人
Topic10,针对,情感,建设性,质疑,仙女,关切,公平,那种,关心,语言,促进,不适,学校,新疆,道德
