word,doc_freq,retained
-_-,1,False
100w,2,False
10W,1,False
10w,1,False
18w,1,False
1g,1,False
1v7,1,False
2000ml,1,False
20w,1,False
30w,2,False
3p,1,False
4K,1,False
4chan,1,False
4v,1,False
50W,2,False
50w,3,False
5M,1,False
5b4t,1,False
6e,1,False
8egg,1,False
8u,2,False
AA,3,False
AA制,1,False
AB,1,False
AC,1,False
AI,2,False
AJ,1,False
AOE,1,False
APP,1,False
Acquiescent,1,False
Ai,1,False
AmericanSociologicalReview,1,False
An,1,False
App,1,False
April,1,False
Australoid,1,False
BABY,1,False
BBC,5,True
BWC,1,False
Ba.5,1,False
CALL,1,False
CNN,1,False
CP,2,False
CR,1,False
Caucasoid,1,False
China,1,False
Communist,1,False
DNA,5,True
DarrellBrooks,1,False
DeniMazrekaj,1,False
EG,2,False
EVAHERMAN2009,1,False
EX,1,False
EZ,3,False
Eg,1,False
EmmanueleJannini,1,False
Exterminationdesracesetdespeuples,1,False
FBI,1,False
FK,1,False
FXXK,1,False
FamilyVoiceAustralia,1,False
France,1,False
FranciscoPerales,1,False
Freya,1,False
Freya945,1,False
GAY,1,False
GC,1,False
GDP,9,True
GDp,1,False
GIF,2,False
GIRL,1,False
Gay,2,False
H2N2,1,False
HEY,1,False
HH,1,False
HIV,8,True
Hamite,1,False
Hhh,1,False
Hiv,2,False
Human,1,False
IP,1,False
IT,2,False
Igbt,1,False
Intelligence,1,False
JATOO,1,False
JC,1,False
JJ,1,False
Johnny,1,False
JournalofSexualMedicine,1,False
KO,1,False
KPI,1,False
KTV,1,False
LD,1,False
LG,1,False
LGBT,3,False
LGBTQ,3,False
LKD,3,False
LSP,1,False
LZ,1,False
LiveScience,1,False
Loo,1,False
Loyola,1,False
MMP,1,False
MS,1,False
Magazine,1,False
Mei,1,False
Menschen,1,False
Mongoloid,1,False
Mua,1,False
NAN,1,False
NBA,5,True
NGO,1,False
NIKE,1,False
NT,1,False
Negroid,1,False
Nextshark,1,False
Ni,1,False
No,2,False
OK,9,True
OTZ,1,False
PC,1,False
PPT,1,False
PS,3,False
PTSD,1,False
PUA,6,True
Paty,1,False
Perales,1,False
QAQ,1,False
QJ,3,False
QQ,2,False
QQ号,1,False
ROG,1,False
Rap,1,False
RoslynPhillips,1,False
SB,3,False
SM,1,False
SN,1,False
Show,1,False
SimonCrouch,1,False
Society,1,False
TA,1,False
TG,1,False
TM,8,True
TV,2,False
TVB,1,False
TVb,1,False
TXL,2,False
Ta,1,False
Tm,1,False
Txl,1,False
UP,1,False
URL,2,False
USABlackrace,1,False
VoiceforMen,1,False
WPA,1,False
WTF,1,False
What,1,False
WorldPsychiatricAssociation,1,False
XBT,1,False
XG,1,False
XQ,1,False
XX,3,False
XXX,1,False
XXXXX,1,False
Xg,1,False
YP,1,False
YY,1,False
You,1,False
ZF2010,1,False
ZG,2,False
Zerst,1,False
__,4,False
_________,1,False
ab,1,False
afbm,1,False
afwm,1,False
ai,5,True
aj,1,False
and,2,False
antinationalists,1,False
app,4,False
apple,1,False
atm,1,False
av,2,False
away,1,False
az,2,False
ba,1,False
baby,1,False
ban,1,False
bangaa,1,False
bb,1,False
bbc,1,False
bee,1,False
being,1,False
bi,1,False
bian,1,False
big,1,False
bilibili,1,False
bj,1,False
black,3,False
blm,2,False
blood,1,False
boy,2,False
boys,1,False
bread,1,False
buff,11,True
bug,1,False
but,1,False
cancer,1,False
capitalism,1,False
care,1,False
carrier,1,False
china,1,False
cjb,1,False
climax,1,False
cos,2,False
cp,3,False
daddy,1,False
dao,1,False
day,1,False
dd,1,False
debuf,1,False
debuff,4,False
der,2,False
des,1,False
descendants,1,False
despise,1,False
diao,1,False
die,4,False
discrimination,1,False
dna,2,False
do,1,False
doctor,1,False
doge,1,False
doi,2,False
don,1,False
double,1,False
dream,1,False
dy,2,False
easy,4,False
easyg,1,False
easygirl,3,False
eg,17,True
emm,1,False
emmm,2,False
emmmmm,1,False
emo,1,False
enfj,1,False
er,1,False
ex,6,True
ez,1,False
ezg,1,False
fa,1,False
father,1,False
fbi,1,False
fen,1,False
five,1,False
fk,1,False
freya,1,False
fw,5,True
fxs,1,False
gao,2,False
gay,31,True
gbt,1,False
gdp,6,True
get,2,False
ghd,1,False
giegie,1,False
girl,2,False
girls,1,False
go,1,False
god,1,False
gou,2,False
gp,1,False
gpd,1,False
gta,1,False
gts,1,False
gun,1,False
gw,1,False
gynocentrism,1,False
hahahahah,1,False
hapas,1,False
happy,1,False
hei,1,False
help,4,False
hentai,1,False
hh,1,False
hhhh,2,False
hhhhh,1,False
hi,1,False
hiahiahia,1,False
hiv,11,True
hj,1,False
hkd,1,False
hn,2,False
house,1,False
hr,2,False
hua,1,False
hub,1,False
hui,1,False
human,1,False
hungry,1,False
hxd,2,False
iPhone,1,False
id,2,False
ihaveadream,1,False
in,1,False
ip,9,True
is,3,False
it,1,False
jatoo,1,False
jb,5,True
jc,1,False
ji,1,False
jiabao,1,False
jiabaosiren,1,False
jiang,1,False
jj,1,False
jn,1,False
jojo,1,False
jpg,1,False
juicy,1,False
jy,1,False
keep,1,False
kg,1,False
kill,1,False
kkk,1,False
km,1,False
kuai,1,False
kui,1,False
ky,2,False
lan,1,False
lang,1,False
lanjiao,1,False
lgbt,4,False
lgbtq,1,False
li,2,False
like,1,False
lj,1,False
lkd,9,True
ln,1,False
lol,1,False
loser,2,False
love,2,False
low,6,True
ltp,1,False
lz,3,False
ma,1,False
made,1,False
maga,1,False
make,2,False
maledisposability,1,False
mark,1,False
mc,1,False
md,1,False
mg,1,False
mimei,1,False
mix,1,False
my,1,False
natifa,1,False
nb,3,False
nba,1,False
nc,2,False
neger,1,False
new,1,False
nga,1,False
ngsh,1,False
nigge,1,False
nm,3,False
no,2,False
not,1,False
nt,16,True
ntr,1,False
nv,1,False
oh,1,False
ok,3,False
ol,1,False
op,2,False
over,1,False
pa,1,False
papa,1,False
party,2,False
pass,1,False
pc,2,False
pei,1,False
pi,3,False
pink,1,False
pk,1,False
play,2,False
pp,1,False
pua,7,True
puppy,1,False
qj,4,False
qq,1,False
qq2514658108,1,False
qs,1,False
quan,1,False
racial,1,False
rap,1,False
rapper,1,False
reddxt,1,False
remake,2,False
run,2,False
rung,1,False
rush,1,False
said,1,False
sao,2,False
sb,4,False
sex,1,False
shanheling,1,False
she,1,False
shi,1,False
shou,1,False
sigma,1,False
single,1,False
siwangzui,1,False
skin,1,False
slay,1,False
sm,1,False
steam,1,False
steamed,1,False
steve,2,False
suck,1,False
ta,4,False
taco,1,False
teacher,1,False
tg,1,False
the,1,False
they,1,False
three,2,False
thu,1,False
tm,4,False
tmd,1,False
tno,1,False
to,1,False
tong,1,False
try,1,False
tui,2,False
tv,1,False
twitter,1,False
tx,1,False
txl,50,True
u1s1,1,False
up,2,False
uu,1,False
via,1,False
vx,1,False
wan,1,False
wb,4,False
wh,1,False
where,1,False
who,1,False
win,1,False
world,2,False
wow,1,False
ww,1,False
wwe,1,False
wwewwecao,1,False
x000D,3,False
xD83D,2,False
xD83E,2,False
xDC36,1,False
xDD14,1,False
xDD8D,1,False
