doc_idx,term_idx,count
1,393,1
1,968,1
1,1891,1
2,1282,2
2,1646,1
2,832,1
2,1410,1
3,1652,1
3,131,4
3,673,1
3,714,2
3,280,1
3,1010,1
3,1394,2
3,347,2
3,666,1
3,1569,1
3,30,1
3,227,1
3,1467,1
3,1388,2
3,1572,1
3,472,1
3,1900,1
3,1143,1
3,1282,1
3,1700,1
4,160,1
4,895,1
4,666,1
4,656,1
4,759,1
4,364,1
4,1020,1
4,80,1
4,1479,2
4,1250,1
4,91,1
4,73,1
4,380,1
5,90,1
6,247,1
6,820,1
6,1866,1
7,766,1
7,1460,1
7,73,1
8,131,1
8,551,1
8,1900,1
8,1898,1
9,90,2
9,1252,1
9,1433,2
9,1167,1
9,546,2
9,1652,1
9,942,1
9,10,1
9,1137,1
9,656,1
9,595,1
9,1282,1
9,1788,1
9,1099,1
9,18,1
9,1880,1
9,1188,2
9,1350,1
9,968,1
9,593,1
9,1807,1
9,1467,1
9,418,1
9,1195,1
10,1088,1
10,1490,1
10,1183,1
10,113,1
11,844,1
12,540,1
13,1901,1
13,172,1
13,303,1
14,101,1
14,346,1
14,1160,1
14,273,1
15,1699,1
15,7,1
15,1756,1
15,673,1
15,1572,1
15,667,1
15,666,1
16,1368,1
16,25,1
16,593,1
16,566,1
16,59,1
16,1439,1
16,1302,3
16,807,1
16,809,1
16,848,1
16,1313,1
16,117,1
16,1446,1
16,1375,1
16,60,1
16,1130,1
16,1432,1
17,21,1
17,895,1
17,180,1
17,1667,1
17,504,1
17,952,1
17,1289,1
17,169,1
18,1838,3
18,1167,2
18,1607,1
18,292,1
18,1294,1
18,7,1
18,1039,1
18,117,4
18,1289,1
18,593,1
18,1290,4
18,1482,1
18,562,1
18,1880,1
18,120,2
18,777,1
18,1670,1
18,1075,1
18,533,1
18,1038,1
18,592,1
18,314,1
19,1433,1
19,1681,1
19,1446,1
19,514,1
19,225,1
19,1906,1
19,1106,1
19,534,1
19,513,1
20,1454,1
20,393,1
20,1419,1
20,1014,1
20,1133,1
21,62,1
21,1900,1
21,1389,1
21,666,1
22,1191,2
22,601,2
22,625,2
22,663,1
22,1608,1
22,1350,1
22,613,1
22,1610,1
22,731,1
22,1756,1
22,251,1
22,1177,1
23,87,1
23,791,1
24,518,1
24,1188,2
24,459,1
24,1788,2
25,90,1
26,513,1
26,964,1
26,968,1
27,1119,1
27,666,11
27,587,1
27,459,6
27,131,6
27,820,2
27,416,1
